employee_id,month,department,overtime,performance_rating,job_satisfaction,environment_satisfaction,years_with_manager,complaint_from_team,complaint_about_job,volunteering,behavioral_change_flag,true_simulated_risk_pct,left_company
1,2025-01-01,Engineering,0,3,2.9,3.2,0.9,0,0,0,0,4.2,0
1,2025-02-01,Engineering,0,3,2.2,3.2,1.0,0,0,1,0,3.2,0
1,2025-03-01,Engineering,0,3,2.2,3.2,1.1,0,1,0,0,9.9,0
1,2025-04-01,Engineering,0,4,2.3,3.7,1.1,0,0,0,0,5.0,0
1,2025-05-01,Engineering,1,3,2.9,3.0,1.2,0,0,0,0,9.9,0
1,2025-06-01,Engineering,0,2,2.7,4.0,1.3,0,0,0,0,2.9,0
1,2025-07-01,Engineering,1,2,3.0,3.4,1.4,0,0,0,0,7.3,0
1,2025-08-01,Engineering,0,3,2.9,3.9,1.5,0,0,0,0,3.2,0
1,2025-09-01,Engineering,0,2,2.9,4.0,1.6,0,0,1,0,1.6,0
1,2025-10-01,Engineering,0,3,2.7,4.1,1.6,0,0,0,0,3.2,0
1,2025-11-01,Engineering,1,3,2.8,3.4,1.7,0,0,1,0,5.4,0
1,2025-12-01,Engineering,0,3,2.2,3.4,1.8,0,1,0,0,8.7,0
2,2025-01-01,Engineering,0,3,3.0,1.8,1.8,0,1,0,0,10.4,0
2,2025-02-01,Engineering,1,3,3.6,1.6,1.9,0,0,1,0,6.8,0
2,2025-03-01,Engineering,0,2,3.2,1.9,2.0,0,0,1,0,2.6,1
3,2025-01-01,Engineering,1,2,4.2,3.7,1.0,0,0,0,0,4.7,0
3,2025-02-01,Engineering,0,4,4.1,4.4,1.1,0,0,1,0,1.4,0
3,2025-03-01,Engineering,0,5,4.5,3.3,1.2,0,1,1,0,3.7,0
3,2025-04-01,Engineering,0,3,4.3,3.8,1.2,0,0,0,0,2.1,0
3,2025-05-01,Engineering,0,2,4.2,4.4,1.3,0,0,1,0,1.0,0
3,2025-06-01,Engineering,0,4,3.7,4.4,1.4,0,0,1,0,1.5,0
3,2025-07-01,Engineering,0,4,3.9,3.7,1.5,0,1,1,1,6.0,0
3,2025-08-01,Engineering,0,3,4.2,3.5,1.6,0,1,0,0,4.5,0
3,2025-09-01,Engineering,1,4,4.2,4.6,1.7,0,0,1,0,2.8,0
3,2025-10-01,Engineering,1,4,4.4,3.3,1.8,0,0,1,0,3.7,0
3,2025-11-01,Engineering,0,4,4.6,3.8,1.8,0,0,1,0,1.3,0
3,2025-12-01,Engineering,0,3,3.4,3.7,1.9,0,0,1,0,1.7,0
4,2025-01-01,Operations,1,3,3.1,2.0,3.1,0,0,1,0,6.3,0
4,2025-02-01,Operations,1,3,3.0,3.2,3.2,0,0,0,0,7.3,0
4,2025-03-01,Operations,1,3,2.4,3.5,3.3,0,0,0,0,8.0,0
4,2025-04-01,Operations,1,4,3.7,2.0,3.4,0,0,1,0,5.7,0
4,2025-05-01,Operations,0,5,2.7,3.6,3.4,0,0,0,0,4.0,0
4,2025-06-01,Operations,0,5,3.5,2.6,3.5,0,0,1,0,2.5,0
4,2025-07-01,Operations,0,3,2.7,2.7,3.6,0,1,0,0,7.3,0
4,2025-08-01,Operations,0,4,2.9,2.9,3.7,1,0,0,0,6.1,1
5,2025-01-01,Sales,1,3,2.8,2.8,1.9,0,0,1,0,6.3,0
5,2025-02-01,Sales,0,4,2.8,2.1,2.0,0,0,1,0,3.7,0
5,2025-03-01,Sales,1,2,2.9,3.1,2.1,1,0,1,0,7.6,0
5,2025-04-01,Sales,0,3,2.8,3.9,2.1,0,0,0,0,3.1,0
5,2025-05-01,Sales,1,4,2.8,3.0,2.2,0,0,1,0,6.6,0
5,2025-06-01,Sales,0,4,3.8,2.7,2.3,0,0,0,0,3.5,0
5,2025-07-01,Sales,0,3,3.7,2.7,2.4,1,1,1,0,6.0,0
5,2025-08-01,Sales,1,1,3.9,2.8,2.5,0,0,0,0,5.0,0
5,2025-09-01,Sales,1,3,3.4,3.0,2.6,0,0,1,0,4.5,0
5,2025-10-01,Sales,0,3,3.6,3.2,2.6,0,0,1,0,1.7,0
